iter,Matrix1,Matrix2,difference,,,
1,-4930.09986,-4395.071684,535.0281761,,,
2,-4966.332474,-4473.569917,492.7625574,,,
3,-4772.354476,-4243.396298,528.9581785,,,
4,-5050.441553,-4280.55709,769.8844631,,,
5,-5370.699696,-4324.066843,1046.632853,,,
6,-4930.220175,-4204.755585,725.4645899,,,
7,-5097.302332,-4467.588417,629.7139147,,,
8,-5113.496343,-4251.197387,862.2989564,,,
9,-5148.025031,-4205.522542,942.5024889,,,
10,-4993.569026,-4277.951639,715.6173869,,,
,,,,,,
,Matrix 1,,Matrix2,,difference,
,-5037.254097,160.9337714,-4312.36774,100.4146632,724.8863565,185.3657408
