"iter","Matrix1","Matrix2"
"1","Some eigen value is neg","-144388.027690342"
"2","Some eigen value is neg","-144369.43871821"
"3","Some eigen value is neg","-144385.475133401"
"4","Some eigen value is neg","-144426.321105571"
"5","Some eigen value is neg","-144419.72833069"
"6","Some eigen value is neg","-144404.497321201"
"7","Some eigen value is neg","-144375.579490306"
"8","Some eigen value is neg","-144405.351304938"
"9","Some eigen value is neg","-144370.17291883"
"10","Some eigen value is neg","-144374.641858253"
